철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치,남녀구분코드
코레일,1호선,소요산,지상,1,외,,맞이방,공용
코레일,1호선,동두천,지상,3,외,1,여객통로(1번출구방면),공용
코레일,1호선,보산,지상,2,외,,맞이방,공용
코레일,1호선,보산,지상,1,외,1,1번 출구,공용
코레일,1호선,지행,지상,1,외,4,4번출구(남부역사),공용
코레일,1호선,지행,지상,1,외,3,3번출구(북부역사),공용
코레일,1호선,덕정,지상,1,외,,맞이방,공용
코레일,1호선,양주,지상,1,외,1,1번출구방향,공용
코레일,1호선,녹양,지상,1,외,1,1번출구,공용
코레일,1호선,가능,지상,1,외,1,1번출구와현금인출기사이,공용
코레일,1호선,의정부,지상,3,외,2,"2,3번출구방향/4,5번출구방향",공용
코레일,1호선,의정부,지상,3,외,2,"2,3번출구방향/4,5번출구방향",공용
코레일,1호선,회룡,지상,2,외,,맞이방,공용
코레일,1호선,회룡,지상,2,외,1,1번 출구,공용
코레일,1호선,망월사,지상,1,외,1,1번 출구,공용
코레일,1호선,망월사,지상,1,ㅊ,1,"북부:1,2번출구/남부:3번출구",공용
코레일,1호선,도봉산,지상,1,외,1,"상행계단게이트(1,2번출구)",공용
코레일,1호선,도봉,지상,1,내,1,1번출구방향,공용
코레일,1호선,도봉,지상,1,내,1,1번 출구,공용
코레일,1호선,방학,지상,1,내,1,"1번,2번출구방향",공용
코레일,1호선,창동,지상,2,외,2,2번출구,여자
코레일,1호선,창동,지상,2,외,2,2번출구,남자
코레일,1호선,녹천,지상,2,내,,북부맞이방인천행승강장방향,공용
코레일,1호선,월계,지상,1,내,1,1번 출구,공용
코레일,1호선,광운대,지상,1,외,1,광운대역1번출구방향(역사안에위치),공용
코레일,1호선,석계,지하,1,내,,맞이방내,공용
코레일,1호선,신이문,지상,1,내,1,의정부행북쪽승강장(1·2·3번출구),공용
코레일,1호선,회기,지상,2,외,1,1번출구,공용
서울교통공사,1호선,청량리(서울시립대입구),지하,1,외,4,4번출입구,공용
서울교통공사,1호선,제기동,지하,1,내,2,2번출입구,공용
서울교통공사,1호선,신설동,지하,1,외,1,1번출입구,공용
서울교통공사,1호선,동묘앞,지하,1,내,3,3번출입구,공용
서울교통공사,1호선,동묘앞,지하,1,내,,상선승강장,공용
서울교통공사,1호선,동묘앞,지하,1,내,,하선승강장,공용
서울교통공사,1호선,동묘앞,지상,1,내,2,2번출입구,공용
서울교통공사,1호선,동대문,지하,1,외,4,4번출입구,공용
서울교통공사,1호선,종로5가,지하,1,외,8,8번출입구,공용
서울교통공사,1호선,종로3가,지하,1,내,1,"1,2번출입구",공용
서울교통공사,1호선,종로3가,지하,1,내,11,"11,12번출입구",공용
서울교통공사,1호선,종로3가,지하,1,내,1,"1,2번출입구",공용
서울교통공사,1호선,종로3가,지하,1,내,1,"1,2번출입구",공용
서울교통공사,1호선,종각,지하,1,외,4,4번출입구,공용
서울교통공사,1호선,종각,지하,1,외,1,1번출입구,공용
서울교통공사,1호선,종각,지하,1,외,1,1번출입구,공용
서울교통공사,1호선,시청,지하,1,외,5,5번출입구,공용
코레일,1호선,용산,지상,4,내,,철도경찰용산센터왼편,공용
코레일,1호선,용산,지상,3,내,,전철타는곳북쪽,공용
코레일,1호선,용산,지상,3,내,3,3번출구,공용
코레일,1호선,용산,지상,3,내,,전철타는곳남쪽,공용
코레일,1호선,노량진,지상,2,외,1,1번 출구,공용
코레일,1호선,대방,지상,1,외,1,1번 출구,공용
코레일,1호선,신길,지상,2,외,1,1번출구,공용
코레일,1호선,신길,지상,2,외,1,1번 출구,공용
코레일,1호선,영등포,지상,,내,1,1번 출구,공용
코레일,1호선,영등포,지상,,내,1,1번 출구,공용
코레일,1호선,신도림,지상,1,내,1,1번 출입구,공용
코레일,1호선,신도림,지상,1,내,1,1번 출입구,공용
코레일,1호선,구로,지상,2,내,,맞이방,공용
코레일,1호선,구로,지상,3,내,1,1번 출구,공용
코레일,1호선,구일,지상,1,내,,개표구앞,공용
코레일,1호선,개봉,지상,2,내,1,맞이방1번출구좌측,공용
코레일,1호선,오류동,지상,2,내,,게이트나와서바로왼쪽,공용
코레일,1호선,온수,지상,2,외,7,인천방향게이트옆(7번출구),공용
코레일,1호선,역곡,지상,2,외,1,1번출구맞이방(남광장쪽),공용
코레일,1호선,소사,지상,2,외,1,1번출구전왼쪽,공용
코레일,1호선,부천,지상,3,외,2,2번출구옆,공용
코레일,1호선,중동,지상,2,내,1,1번출구,공용
코레일,1호선,송내,지상,2,내,1,1번출구남광장,공용
코레일,1호선,송내,지상,2,내,2,2번출구북광장,공용
코레일,1호선,부개,지상,2,외,,맞이방(남쪽방향),공용
코레일,1호선,부평,지상,1,외,1,남부1번출구쪽,공용
코레일,1호선,부평,지하,1,외,,맞이방지하상가출구쪽,공용
코레일,1호선,부평,지상,2,외,2,맞이방2번출구쪽,공용
코레일,1호선,백운,지상,2,외,1,1번 출구,공용
코레일,1호선,백운,지상,2,외,1,1번 출구,공용
코레일,1호선,동암,지상,2,외,1,1번 출구,공용
코레일,1호선,간석,지상,2,내,,상행에스컬레이터옆,공용
코레일,1호선,주안,지하,1,내,,지하맞이방상선계단진입전,공용
코레일,1호선,주안,지상,2,외,1,1번출구방향왼편,공용
코레일,1호선,도화,지상,2,외,,게이트나가서오른편,공용
코레일,1호선,제물포,지상,2,외,1,1번 출구,공용
코레일,1호선,도원,지상,2,내,1,1번 출구,공용
코레일,1호선,도원,지상,2,내,4,4번인천방면(타는곳),공용
코레일,1호선,동인천,지상,1,외,1,1번출구,공용
코레일,1호선,인천,지하,1,외,,역무실앞,공용
코레일,1호선,가산디지털단지,지상,2,외,,맞이방,공용
코레일,1호선,독산,지상,2,외,1,1번 출구,공용
코레일,1호선,금천구청,지상,1,외,1,1번출구계단내려가서우측,공용
